time,Azimuth:,Pitch:,Roll:
0.116629,179.709,-36.264,-1.533
0.123002,179.710,-36.258,-1.478
0.123340,179.710,-36.258,-1.478
0.278058,179.709,-36.299,-1.514
0.314592,179.651,-36.299,-1.514
0.350757,179.651,-36.299,-1.514
0.506464,179.650,-36.282,-1.534
0.506816,179.650,-36.282,-1.534
0.514623,179.663,-36.282,-1.534
0.661117,179.663,-36.329,-1.536
0.726265,179.577,-36.329,-1.536
0.733807,179.577,-36.329,-1.536
0.886816,179.577,-36.329,-1.536
0.887856,179.579,-36.214,-1.515
0.914830,179.550,-36.214,-1.515
1.039906,179.549,-36.246,-1.522
1.113802,179.611,-36.246,-1.522
1.114167,179.611,-36.246,-1.522
1.271013,179.609,-36.358,-1.581
1.272079,179.609,-36.358,-1.581
1.318071,179.684,-36.358,-1.581
1.425736,179.685,-36.283,-1.551
1.497902,179.685,-36.283,-1.551
1.514420,179.781,-36.283,-1.551
1.650357,179.781,-36.283,-1.551
1.651070,179.780,-36.346,-1.581
1.712779,179.687,-36.346,-1.581
1.804481,179.686,-36.356,-1.618
1.880487,179.686,-36.356,-1.618
1.914512,179.673,-36.356,-1.618
2.033612,179.673,-36.315,-1.618
2.033946,179.673,-36.315,-1.618
2.113760,179.736,-36.315,-1.618
2.187233,179.736,-36.299,-1.597
2.263235,179.736,-36.299,-1.597
2.313828,179.918,-36.299,-1.597
2.415899,179.919,-36.238,-1.561
2.416333,179.919,-36.238,-1.561
2.514449,-179.987,-36.238,-1.561
2.569883,-179.987,-36.253,-1.578
2.644329,-179.987,-36.253,-1.578
2.713863,179.923,-36.253,-1.578
2.797858,179.923,-36.253,-1.578
2.799205,179.925,-36.262,-1.485
2.914791,-179.975,-36.262,-1.485
2.953697,-179.976,-36.237,-1.526
3.028438,-179.976,-36.237,-1.526
3.114415,179.995,-36.237,-1.526
3.180438,179.995,-36.296,-1.562
3.180956,179.995,-36.296,-1.562
3.314363,-179.976,-36.296,-1.562
3.333214,-179.975,-36.275,-1.522
3.411254,-179.975,-36.275,-1.522
3.515760,179.882,-36.275,-1.522
3.564115,179.882,-36.275,-1.522
3.565767,179.881,-36.319,-1.559
3.714758,179.792,-36.319,-1.559
3.715631,179.792,-36.289,-1.561
3.793720,179.792,-36.289,-1.561
